scope,commodity,horizon,baseline,mae,rmse,mape,n
full,Wheat,4,ma4,114.35762374795553,247.19444507368254,5.614630759188858,8482
full,Wheat,12,persistence,178.95362425254453,360.71690721721023,8.658832771991353,8384
full,Wheat,12,seasonal_naive,412.1736268429253,754.41264760255,16.575641207147836,7824
full,Wheat,12,ma4,198.24001337524416,390.357911490622,9.489805354166394,8370
recent_year,ALL,1,persistence,83.06961173708919,297.5786346464519,1.8592120536741845,4544
recent_year,ALL,1,seasonal_naive,1126.5692336725926,1796.5849648036035,22.40208902579453,4267
recent_year,ALL,1,ma4,218.52762182059047,551.3430815283713,4.8941650429266055,4541
recent_year,ALL,2,persistence,141.85273291475173,422.48484439594347,3.185549724786167,4414
recent_year,ALL,2,seasonal_naive,1120.5686893264096,1787.801203984868,22.24041558477509,4154
recent_year,ALL,2,ma4,260.71831803733807,616.0561193893686,5.795667403471602,4411
recent_year,ALL,4,persistence,237.03549893277508,585.5962524866935,5.353970540146435,4163
recent_year,ALL,4,seasonal_naive,1109.695496218808,1767.9042094348301,21.942693068988522,3933
recent_year,ALL,4,ma4,329.5731893703055,710.4389775145191,7.30628163235968,4161
recent_year,ALL,12,persistence,451.26062466675495,832.1015806435213,9.802345500850619,3233
recent_year,ALL,12,seasonal_naive,1072.2993153803698,1686.5604028162659,20.67657430712978,3106
recent_year,ALL,12,ma4,494.57121534686286,855.3512929500354,10.608515980023151,3231
recent_year,Maize,1,persistence,59.78499992076697,143.13699131400347,2.1759575849245953,601
recent_year,Maize,1,seasonal_naive,577.2822020442119,764.6996204859787,20.820877601619433,601
recent_year,Maize,1,ma4,145.3954537675303,273.84000102445964,5.37799855617472,601
recent_year,Maize,2,persistence,101.64142112082926,211.25470865234348,3.691359659148315,588
recent_year,Maize,2,seasonal_naive,574.1664344023324,759.9058057263331,20.71562225243724,588
recent_year,Maize,2,ma4,169.7466067379333,301.7666606549724,6.261471684518886,588
recent_year,Maize,4,persistence,161.57331096424332,289.4894868116903,5.9057849363219015,562
recent_year,Maize,4,seasonal_naive,569.3960254194204,753.797921304121,20.50252724200327,562
