series,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Rice | IRRI | RahimYarKhan,52,53,52,52,52,40,50,53,51,52,52,3,0,0,7,19,1,0
Rice | IRRI | Rawalpindi,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Rice | IRRI | Sargodha,52,19,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice | Kainat New | BahawalNagar,0,0,0,0,0,0,0,0,11,9,8,8,0,0,0,0,0,1
Rice | Kainat New | BahawalPur,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,33,6
Rice | Kainat New | Chichawatni,0,0,0,0,0,0,0,0,17,42,45,0,0,0,0,0,0,0
Rice | Kainat New | Faisalabad,0,0,0,0,0,0,0,1,18,17,29,52,53,52,52,52,52,22
Rice | Kainat New | Gujranwala,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rice | Kainat New | Jhang,0,0,0,0,0,0,0,0,21,0,0,0,0,0,47,52,52,22
Rice | Kainat New | Lahore,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0
Rice | Kainat New | Layyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21
Rice | Kainat New | Multan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21
Rice | Kainat New | Okara,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,7,24,22
Rice | Kainat New | RahimYarKhan,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
Rice | Kainat New | Rawalpindi,0,0,0,0,0,0,0,1,27,46,52,52,53,52,36,49,52,22
Rice | Kainat New | Sargodha,0,0,0,0,0,0,0,0,0,0,0,0,0,26,39,33,52,21
Rice | Kainat New | Sialkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52,5,1
Seed Cotton (Phutti) | - | BahawalNagar,20,9,0,0,0,0,0,0,22,24,30,7,0,0,1,0,0,0
Seed Cotton (Phutti) | - | BahawalPur,33,28,31,33,33,34,31,16,19,9,0,0,21,32,33,33,37,8
Seed Cotton (Phutti) | - | Chichawatni,37,40,45,51,47,29,21,20,5,7,5,11,46,38,47,38,31,0
Seed Cotton (Phutti) | - | Jhang,27,33,36,39,13,0,0,0,0,0,0,0,0,0,25,2,0,0
Seed Cotton (Phutti) | - | Layyah,18,25,32,28,28,25,27,21,21,21,8,13,23,23,35,26,22,0
Seed Cotton (Phutti) | - | Multan,25,21,23,26,35,22,21,16,24,22,0,0,0,0,0,0,0,0
Seed Cotton (Phutti) | - | Okara,32,35,42,16,20,15,14,15,5,0,0,0,0,0,6,0,0,0
Seed Cotton (Phutti) | - | RahimYarKhan,40,45,39,45,38,35,32,34,28,23,28,33,32,34,42,38,37,3
Sugar | - | BahawalNagar,52,53,52,52,26,0,5,0,45,52,50,9,0,0,0,0,0,0
Sugar | - | BahawalPur,52,53,52,52,52,52,49,53,45,29,31,25,14,49,52,52,52,22
Sugar | - | Chichawatni,45,48,51,51,52,52,52,40,51,52,52,6,0,0,0,0,0,0
Sugar | - | Faisalabad,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Sugar | - | Gujranwala,52,53,52,50,52,52,48,53,52,52,52,52,53,52,52,10,0,6
Sugar | - | Jhang,52,53,52,51,18,0,0,0,21,0,0,0,0,0,46,1,15,0
Sugar | - | Lahore,52,53,52,52,52,52,52,53,52,52,52,52,53,29,0,0,0,0
Sugar | - | Layyah,52,53,52,52,47,52,52,53,0,0,0,0,0,0,0,0,0,0
Sugar | - | Multan,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Sugar | - | Okara,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,46,0,0
