commodity,variety,city,unit,start,end,span_weeks,present_weeks,filled_weeks,winsorized_weeks,coverage_pct,price_min,price_max,price_mean,price_median
Paddy,Basmati,Sargodha,Rs/40Kg (Maund),2009-01-02,2025-12-05,884,137,87,3,15.5,616.64,5150.0,1617.28,1213.47
Paddy,IRRI,BahawalNagar,Rs/40Kg (Maund),2009-08-21,2019-10-11,530,68,47,3,12.8,525.52,1850.0,1013.44,848.67
Paddy,IRRI,BahawalPur,Rs/40Kg (Maund),2009-01-02,2010-02-19,60,30,9,1,50.0,438.06,1075.2,821.35,850.0
Paddy,IRRI,Chichawatni,Rs/40Kg (Maund),2009-10-09,2021-10-15,628,34,79,2,5.4,525.2,1055.09,785.01,787.6
Paddy,IRRI,Faisalabad,Rs/40Kg (Maund),2019-07-26,2022-06-10,151,11,12,0,7.3,1340.0,2500.0,1637.54,1343.33
Paddy,IRRI,Jhang,Rs/40Kg (Maund),2009-01-02,2024-10-18,825,277,42,3,33.6,450.0,4840.0,1332.52,881.4
Paddy,IRRI,Layyah,Rs/40Kg (Maund),2012-03-30,2013-04-19,56,2,4,0,3.6,1900.0,2160.0,2116.67,2160.0
Paddy,IRRI,Multan,Rs/40Kg (Maund),2009-01-02,2019-11-22,569,149,42,3,26.2,469.5,1225.2,814.04,825.13
Paddy,IRRI,Okara,Rs/40Kg (Maund),2009-01-02,2023-09-15,768,253,47,5,32.9,490.06,2500.0,849.6,790.0
Paddy,IRRI,RahimYarKhan,Rs/40Kg (Maund),2009-02-06,2016-02-12,367,19,44,0,5.2,420.0,1700.0,890.9,675.2
Paddy,IRRI,Sargodha,Rs/40Kg (Maund),2009-01-02,2025-12-26,887,90,16,3,10.1,435.97,4860.0,1125.68,689.67
Paddy,IRRI,Sialkot,Rs/40Kg (Maund),2022-07-22,2022-07-22,1,1,0,0,100.0,2360.0,2360.0,2360.0,2360.0
Paddy,Kainat,BahawalNagar,Rs/40Kg (Maund),2017-02-17,2021-11-26,250,46,30,2,18.4,1685.45,2825.88,2154.97,2190.0
Paddy,Kainat,Chichawatni,Rs/40Kg (Maund),2017-01-13,2026-05-22,489,255,37,3,52.1,1620.0,5783.3,3887.99,3921.52
Paddy,Kainat,Faisalabad,Rs/40Kg (Maund),2021-09-03,2021-12-10,15,15,0,0,100.0,2151.6,2400.0,2277.8,2272.0
Paddy,Kainat,Gujranwala,Rs/40Kg (Maund),2022-11-04,2022-11-04,1,1,0,0,100.0,3430.0,3430.0,3430.0,3430.0
Paddy,Kainat,Jhang,Rs/40Kg (Maund),2017-02-17,2024-06-07,382,68,23,1,17.8,1841.0,8840.0,5413.66,6080.0
Paddy,Kainat,Okara,Rs/40Kg (Maund),2018-01-05,2018-01-05,1,1,0,0,100.0,1735.2,1735.2,1735.2,1735.2
Paddy,Kainat,Sargodha,Rs/40Kg (Maund),2018-10-26,2025-12-26,375,49,56,2,13.1,1810.29,6050.0,3312.24,2700.0
Rice,Basmati 385,BahawalNagar,Rs/40Kg (Maund),2009-01-02,2026-02-20,895,194,44,5,21.7,1310.99,5460.0,2282.99,2090.0
Rice,Basmati 385,BahawalPur,Rs/40Kg (Maund),2016-02-05,2017-02-24,56,8,16,1,14.3,2600.0,3385.0,2832.71,2800.0
Rice,Basmati 385,Chichawatni,Rs/40Kg (Maund),2009-10-09,2020-05-01,552,325,43,0,58.9,1650.0,3400.0,2610.07,2694.0
Rice,Basmati 385,Faisalabad,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,898,9,13,98.8,1350.0,5750.0,2883.89,2430.0
Rice,Basmati 385,Gujranwala,Rs/40Kg (Maund),2009-06-26,2015-11-13,334,6,10,0,1.8,1060.0,1500.0,1331.25,1380.0
Rice,Basmati 385,Jhang,Rs/40Kg (Maund),2009-01-02,2024-04-05,797,252,41,6,31.6,1806.99,9709.84,3296.43,2400.0
Rice,Basmati 385,Lahore,Rs/40Kg (Maund),2011-07-01,2020-11-20,491,3,8,0,0.6,3000.0,5400.0,3809.09,4300.0
Rice,Basmati 385,Layyah,Rs/40Kg (Maund),2009-01-02,2017-06-16,442,315,42,1,71.3,1400.0,3300.0,2475.16,2600.0
Rice,Basmati 385,Multan,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,890,10,18,97.9,1170.15,8180.1,3259.09,2525.2
Rice,Basmati 385,Okara,Rs/40Kg (Maund),2009-01-02,2019-04-05,536,424,16,5,79.1,1431.7,2900.0,2242.3,2165.0
Rice,Basmati 385,RahimYarKhan,Rs/40Kg (Maund),2009-01-02,2017-11-24,465,347,50,0,74.6,1280.0,3000.0,2233.52,2313.33
Rice,Basmati 385,Rawalpindi,Rs/40Kg (Maund),2009-01-02,2010-10-08,93,14,4,0,15.1,2300.0,2300.0,2300.0,2300.0
Rice,Basmati 385,Sargodha,Rs/40Kg (Maund),2009-01-02,2026-05-22,908,97,98,0,10.7,1212.4,8750.0,4523.4,5500.0
Rice,Basmati 385,Sialkot,Rs/40Kg (Maund),2009-10-23,2022-07-15,665,6,18,1,0.9,1320.0,4821.2,1814.22,1680.0
Rice,Basmati Super New,BahawalNagar,Rs/40Kg (Maund),2009-01-02,2024-04-05,797,255,74,7,32.0,2204.82,11180.0,3409.29,2842.0
Rice,Basmati Super New,BahawalPur,Rs/40Kg (Maund),2009-02-27,2026-04-10,894,468,143,11,52.3,1900.0,12390.0,4554.68,3740.0
Rice,Basmati Super New,Chichawatni,Rs/40Kg (Maund),2009-01-09,2020-05-01,591,508,63,6,86.0,1378.36,5800.0,3729.68,3800.0
Rice,Basmati Super New,Faisalabad,Rs/40Kg (Maund),2009-01-02,2026-05-29,909,897,9,17,98.7,2050.0,12315.83,5105.24,4303.33
Rice,Basmati Super New,Gujranwala,Rs/40Kg (Maund),2009-01-02,2026-03-27,900,716,36,8,79.6,2022.55,12100.0,4112.56,3900.0
